theta_bin,theta_deg,tx_bin,tx,votes
18,-161.5,98,-419.083,1
22,-157.5,103,226.815,1
39,-140.5,83,-2356.77,1
45,-134.5,96,-677.442,1
57,-122.5,84,-2227.6,1
61,-118.5,123,2810.4,1
62,-117.5,131,3843.84,1
72,-107.5,111,1260.25,1
92,-87.5,154,6814.97,1
106,-73.5,88,-1710.88,2
114,-65.5,102,97.6352,1
116,-63.5,103,226.815,1
122,-57.5,118,2164.51,1
132,-47.5,102,97.6352,1
135,-44.5,122,2681.22,1
138,-41.5,105,485.174,1
143,-36.5,118,2164.51,1
147,-32.5,133,4102.2,1
149,-30.5,102,97.6352,143
150,-29.5,102,97.6352,97
150,-29.5,111,1260.25,1
156,-23.5,141,5135.63,1
157,-22.5,105,485.174,1
164,-15.5,99,-289.903,1
168,-11.5,114,1647.79,1
176,-3.5,101,-31.5443,1
177,-2.5,67,-4423.65,1
191,11.5,87,-1840.06,1
192,12.5,165,8235.94,1
194,14.5,143,5393.99,1
202,22.5,110,1131.07,1
209,29.5,76,-3261.03,1
218,38.5,107,743.532,1
230,50.5,107,743.532,1
241,61.5,110,1131.07,1
247,67.5,140,5006.45,1
253,73.5,121,2552.04,1
259,79.5,122,2681.22,1
261,81.5,138,4748.1,1
264,84.5,95,-806.621,1
268,88.5,149,6169.07,1
273,93.5,70,-4036.11,1
276,96.5,128,3456.3,1
282,102.5,74,-3519.39,1
285,105.5,113,1518.61,1
292,112.5,104,355.994,1
293,113.5,70,-4036.11,1
300,120.5,98,-419.083,1
302,122.5,115,1776.97,1
303,123.5,128,3456.3,1
305,125.5,120,2422.87,1
314,134.5,102,97.6352,1
318,138.5,109,1001.89,1
324,144.5,138,4748.1,1
334,154.5,127,3327.12,1
339,159.5,107,743.532,1
340,160.5,123,2810.4,1
353,173.5,144,5523.17,1
