theta_bin,theta_deg,ty_bin,ty,votes
18,-161.5,97,-588.85,1
22,-157.5,133,4005.75,1
39,-140.5,83,-2375.64,1
45,-134.5,84,-2248.01,1
57,-122.5,87,-1865.13,1
61,-118.5,64,-4800.56,1
62,-117.5,56,-5821.58,1
72,-107.5,97,-588.85,1
92,-87.5,103,176.916,1
106,-73.5,77,-3141.4,1
106,-73.5,138,4643.88,1
114,-65.5,94,-971.733,1
116,-63.5,92,-1226.99,1
122,-57.5,91,-1354.62,1
132,-47.5,62,-5055.82,1
135,-44.5,151,6303.04,1
138,-41.5,109,942.682,1
143,-36.5,174,9238.48,1
147,-32.5,81,-2630.89,1
149,-30.5,101,-78.3392,143
150,-29.5,101,-78.3392,97
150,-29.5,102,49.2885,1
156,-23.5,105,432.171,1
157,-22.5,96,-716.477,1
164,-15.5,92,-1226.99,1
168,-11.5,140,4899.14,1
176,-3.5,46,-7097.86,1
177,-2.5,57,-5693.96,1
191,11.5,134,4133.37,1
192,12.5,72,-3779.54,1
194,14.5,127,3239.98,1
202,22.5,100,-205.967,1
209,29.5,162,7706.95,1
218,38.5,93,-1099.36,1
230,50.5,103,176.916,1
241,61.5,63,-4928.19,1
247,67.5,99,-333.594,1
253,73.5,103,176.916,1
259,79.5,102,49.2885,1
261,81.5,97,-588.85,1
264,84.5,70,-4034.8,1
268,88.5,104,304.544,1
273,93.5,107,687.427,1
276,96.5,141,5026.77,1
282,102.5,62,-5055.82,1
285,105.5,104,304.544,1
292,112.5,99,-333.594,1
293,113.5,105,432.171,1
300,120.5,94,-971.733,1
302,122.5,111,1197.94,1
303,123.5,111,1197.94,1
305,125.5,119,2218.96,1
314,134.5,113,1453.19,1
318,138.5,110,1070.31,1
324,144.5,100,-205.967,1
334,154.5,95,-844.105,1
339,159.5,101,-78.3392,1
340,160.5,76,-3269.03,1
353,173.5,114,1580.82,1
