img_i,img_j,gaia_a,gaia_b,theta_deg,s_est,tx,ty,n_k_passed,similarity,vote
35,89,35,89,-30.0007,0.982227,50.4589,-30.4688,8,0.333333,3
1,14,24,46,29.8567,0.949345,-3261.8,7680.96,1,0,1
0,19,0,19,-29.9977,0.982229,50.7614,-29.3566,7,0.5,4
95,89,10,33,-36.2826,1.08155,2121.39,9262.43,1,0,1
95,89,27,68,-11.973,0.915691,1696.86,4888.67,1,0,1
87,37,1,79,-3.95298,0.937219,22.03,-7077.78,1,0,1
79,38,18,35,84.9109,0.975971,-765.447,-4011.49,1,0,1
0,56,0,56,-30.0111,0.982616,48.3712,-29.9452,8,0.166667,1
0,56,0,56,-30.0111,0.982616,48.3712,-29.9452,3,0.166667,1
63,75,63,75,-29.989,0.981997,49.8843,-30.2123,6,0.833333,5
63,75,34,79,-23.9519,1.04338,5087.81,471.301,1,0,1
13,57,13,57,-29.9986,0.982294,50.2893,-29.882,7,0,1
10,87,17,56,-47.9417,1.07434,56.5618,-5105.72,1,0,1
5,2,48,84,50.2616,0.999996,744.18,220.49,1,0,1
57,68,57,68,-30.0097,0.982116,49.0055,-29.6378,7,0.5,4
35,55,35,55,-30.001,0.982394,50.4198,-29.9843,6,0.333333,2
9,82,9,82,-30.0049,0.982265,49.8564,-30.3969,6,0.666667,4
17,45,17,45,-29.9944,0.982256,50.3078,-29.6489,5,0.666667,3
46,47,52,64,12.8012,0.999096,8196.79,-3775.84,1,0,1
11,78,11,78,-29.9995,0.982309,49.8653,-29.5036,9,0.5,5
9,49,9,49,-30.0106,0.982192,49.1929,-30.0658,7,0.833333,6
34,98,50,97,93.9659,0.925377,-4061.94,734.129,1,0,1
34,98,51,71,-140.771,1.07103,-2337.5,-2345.66,1,0,1
22,97,22,68,-15.2915,0.983668,-303.304,-1274.39,1,0.5,1
22,97,22,63,-41.5,1.05091,454.915,995.468,1,0,1
75,27,3,91,122.507,0.968318,1815.92,1227.61,1,0,1
61,29,43,70,14.6707,1.03752,5411.91,3196.41,1,0,1
10,57,10,57,-29.9988,0.982266,50.1639,-29.9456,8,0.166667,1
10,57,28,67,61.2267,0.985505,1134.27,-4866.49,1,0,1
70,72,70,72,-30.0018,0.982337,49.8561,-29.703,9,0.833333,8
70,72,53,87,120.801,0.987363,-451.417,-957.991,1,0,1
47,53,27,69,88.5934,0.916703,6113.77,251.479,1,0,1
0,55,0,55,-30.0003,0.982298,50.3274,-29.4743,7,0.166667,1
0,55,20,23,125.225,1.06127,2396.69,2183.94,1,0,1
19,34,19,34,-29.9927,0.982727,52.7122,-29.8808,5,0.666667,3
12,18,12,18,-29.9953,0.982093,49.6738,-31.3567,8,0.166667,1
17,59,17,59,-30.004,0.982134,50.3395,-29.9851,6,1,6
17,59,68,82,-65.6938,0.916813,148.966,-1020.73,1,0,1
87,80,0,5,22.6262,1.08364,1163.74,-161.733,1,0,1
89,62,57,86,67.0118,0.967207,4948.07,-276.718,1,0,1
89,62,63,98,123.868,0.930283,3519.77,1232.26,1,0,1
24,93,24,93,-29.9918,0.982335,50.1024,-29.8269,8,0.833333,7
62,55,38,96,173.63,1.09875,5526.38,1558.84,1,0,1
62,55,24,38,-29.3793,0.966246,1205.72,98.625,1,0,1
61,89,61,89,-30.0011,0.982146,50.698,-30.1568,8,0.5,4
61,89,27,89,-57.2725,1.0981,2101.57,-1302.68,1,0,1
26,54,5,24,-73.8811,1.00558,-1757.88,4595.39,1,0,1
26,54,18,80,38.4865,0.983032,746.764,-1145.12,1,0.166667,1
9,54,9,54,-30.0053,0.982352,50.3024,-30.1205,5,0.666667,3
55,89,55,89,-29.9784,0.982445,48.3536,-30.3624,7,0,1
15,83,49,62,160.953,1.01652,2802.07,-3309.38,1,0,1
15,83,15,83,-29.9948,0.98251,50.208,-29.724,9,0.666667,6
15,83,85,91,-157.786,0.915576,222.815,4030.67,1,0,1
50,38,59,70,-63.3198,1.00861,263.866,-1195.03,1,0,1
44,66,44,66,-29.9768,0.98241,51.2673,-29.2289,7,0.5,4
44,66,17,82,79.6301,0.955764,2652.18,92.3277,1,0.166667,1
14,80,14,80,-30.038,0.981997,51.6244,-27.9452,7,0.166667,1
15,28,40,84,96.4634,1.03625,3460.05,5022.48,2,0,1
15,28,15,28,-30.0185,0.983209,48.8586,-31.0677,6,0.5,3
90,15,63,68,-107.07,1.06591,1284.18,-569.63,1,0,1
10,34,2,34,-22.5093,0.982036,506.331,-679.413,1,0.5,1
10,34,10,34,-30.0092,0.982232,49.2386,-30.4512,10,0.5,5
6,43,39,63,-134.385,1.01644,-684.676,-2278.87,1,0,1
44,21,44,62,73.9356,0.972344,2602.72,212.166,1,0.166667,1
