field,value
data_name,synthetic
source,synthetic
n_u,100
n_w,100
s0,1
density_theta_deg,29.5
density_tx,97.63516754
density_ty,-78.33917144
snr_final,47.67676768
n_samples_actual,300
n_passed,121
n_focused,23
ransac_theta_deg,30.00012759
ransac_tx,49.92936095
ransac_ty,-30.00103563
ransac_s,0.9822811078
n_inliers,63
n_ransac_iters,1000
ransac_rms,0.7649754668
success,1
gt_theta_deg,30
gt_tx,50
gt_ty,-30
gt_s,0.9823
err_theta_deg,0.0001275854268
err_tx,0.07063904993
err_ty,0.001035625614
err_s,1.889222815e-05
