tx_bin,tx,ty_bin,ty,votes
67,-4423.65,57,-5693.96,1
70,-4036.11,105,432.171,1
70,-4036.11,107,687.427,1
74,-3519.39,62,-5055.82,1
76,-3261.03,162,7706.95,1
83,-2356.77,83,-2375.64,1
84,-2227.6,87,-1865.13,1
87,-1840.06,134,4133.37,1
88,-1710.88,77,-3141.4,1
88,-1710.88,138,4643.88,1
95,-806.621,70,-4034.8,1
96,-677.442,84,-2248.01,1
98,-419.083,94,-971.733,1
98,-419.083,97,-588.85,1
99,-289.903,92,-1226.99,1
101,-31.5443,46,-7097.86,1
102,97.6352,62,-5055.82,1
102,97.6352,94,-971.733,1
102,97.6352,101,-78.3392,146
102,97.6352,113,1453.19,1
103,226.815,92,-1226.99,1
103,226.815,133,4005.75,1
104,355.994,99,-333.594,1
105,485.174,96,-716.477,1
105,485.174,109,942.682,1
107,743.532,93,-1099.36,1
107,743.532,101,-78.3392,1
107,743.532,103,176.916,1
109,1001.89,110,1070.31,1
110,1131.07,63,-4928.19,1
110,1131.07,100,-205.967,1
111,1260.25,97,-588.85,1
111,1260.25,102,49.2885,1
113,1518.61,104,304.544,1
114,1647.79,140,4899.14,1
115,1776.97,111,1197.94,1
118,2164.51,91,-1354.62,1
118,2164.51,174,9238.48,1
120,2422.87,119,2218.96,1
121,2552.04,103,176.916,1
122,2681.22,102,49.2885,1
122,2681.22,151,6303.04,1
123,2810.4,64,-4800.56,1
123,2810.4,76,-3269.03,1
127,3327.12,95,-844.105,1
128,3456.3,111,1197.94,1
128,3456.3,141,5026.77,1
131,3843.84,56,-5821.58,1
133,4102.2,81,-2630.89,1
138,4748.1,97,-588.85,1
138,4748.1,100,-205.967,1
140,5006.45,99,-333.594,1
141,5135.63,105,432.171,1
143,5393.99,127,3239.98,1
144,5523.17,114,1580.82,1
149,6169.07,104,304.544,1
154,6814.97,103,176.916,1
165,8235.94,72,-3779.54,1
