sample_idx,total_votes,n_nonzero_bins,peak_cluster,snr,peak_theta,peak_tx,peak_ty,confirmed,n_focused,n_discarded,focus_th_lo,focus_th_hi,focus_tx_lo,focus_tx_hi,focus_ty_lo,focus_ty_hi
200,203,59,146,42.4335,-29.5,97.6352,-78.3392,0,0,0,0,0,0,0,0,0
300,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,62,-32.5,-26.5,67.6352,127.635,-108.339,-48.3392
400,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,110,-32.5,-26.5,67.6352,127.635,-108.339,-48.3392
500,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,165,-30.7,-28.3,85.6352,109.635,-90.3392,-66.3392
600,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,221,-30.7,-28.3,85.6352,109.635,-90.3392,-66.3392
700,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,277,-29.98,-29.02,92.8352,102.435,-83.1392,-73.5392
800,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,329,-29.98,-29.02,92.8352,102.435,-83.1392,-73.5392
900,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,387,-29.692,-29.308,95.7152,99.5552,-80.2592,-76.4192
1000,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,441,-29.692,-29.308,95.7152,99.5552,-80.2592,-76.4192
1100,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,496,-29.5768,-29.4232,96.8672,98.4032,-79.1072,-77.5712
1200,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,551,-29.5768,-29.4232,96.8672,98.4032,-79.1072,-77.5712
1300,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,604,-29.5307,-29.4693,97.328,97.9424,-78.6464,-78.032
1400,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,652,-29.5307,-29.4693,97.328,97.9424,-78.6464,-78.032
1500,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,711,-29.5123,-29.4877,97.5123,97.758,-78.4621,-78.2163
1600,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,778,-29.5123,-29.4877,97.5123,97.758,-78.4621,-78.2163
1700,203,59,146,42.4335,-29.5,97.6352,-78.3392,1,0,832,-29.5049,-29.4951,97.586,97.6843,-78.3883,-78.29
