img_idx,gaia_idx,s_est,theta_rot_deg
35,35,0.982227,-30.0007
89,89,0.982227,-30.0007
0,0,0.982229,-29.9977
19,19,0.982229,-29.9977
56,56,0.982616,-30.0111
63,63,0.981997,-29.989
75,75,0.981997,-29.989
13,13,0.982294,-29.9986
57,57,0.982294,-29.9986
68,68,0.982116,-30.0097
55,55,0.982394,-30.001
9,9,0.982265,-30.0049
82,82,0.982265,-30.0049
17,17,0.982256,-29.9944
45,45,0.982256,-29.9944
11,11,0.982309,-29.9995
78,78,0.982309,-29.9995
49,49,0.982192,-30.0106
10,10,0.982266,-29.9988
70,70,0.982337,-30.0018
72,72,0.982337,-30.0018
34,34,0.982727,-29.9927
12,12,0.982093,-29.9953
18,18,0.982093,-29.9953
59,59,0.982134,-30.004
24,24,0.982335,-29.9918
93,93,0.982335,-29.9918
61,61,0.982146,-30.0011
54,54,0.982352,-30.0053
15,15,0.98251,-29.9948
83,83,0.98251,-29.9948
44,44,0.98241,-29.9768
66,66,0.98241,-29.9768
14,14,0.981997,-30.038
80,80,0.981997,-30.038
28,28,0.983209,-30.0185
94,94,0.982022,-29.9811
84,84,0.982215,-29.9981
20,20,0.982289,-30.0035
32,32,0.982241,-30.0024
50,50,0.982431,-29.99
96,96,0.982431,-29.99
23,23,0.982357,-29.9844
90,90,0.982357,-29.9844
42,42,0.982159,-30.014
77,77,0.982159,-30.014
29,29,0.98234,-30.0047
65,65,0.982181,-30.003
30,30,0.982268,-30.0002
2,2,0.982337,-30.0011
76,76,0.982461,-30.0042
