field,value
data_name,synthetic
source,synthetic
n_u,100
n_w,100
s0,1
density_theta_deg,29.5
density_tx,97.63516754
density_ty,-78.33917144
snr_final,42.43349754
n_samples_actual,5000
n_passed,98
n_focused,0
ransac_theta_deg,30.00033661
ransac_tx,49.99110314
ransac_ty,-30.03132742
ransac_s,0.9822843139
n_inliers,51
n_ransac_iters,500
ransac_rms,0.7786053374
success,1
gt_theta_deg,30
gt_tx,50
gt_ty,-30
gt_s,0.9823
err_theta_deg,0.0003366069207
err_tx,0.008896857069
err_ty,0.03132741884
err_s,1.568612534e-05
