sigma_pos,drop_rate,extra_rate,n_u,n_w,success,theta_peak,s_peak,dx_peak,dy_peak,snr_3d,n_focused,n_passed,n_samples,t_ms,theta_err_deg,dx_err,dy_err
0.0000,0.0000,0.0000,50,80,1,-30.50,0.9992,948.30,-1013.06,15.92,0,279,350,31.3,-0.500,448.30,-1313.06
0.5000,0.0000,0.0000,50,80,1,-30.50,0.9998,921.67,-1013.19,16.68,0,280,350,31.5,-0.500,421.67,-1313.19
1.0000,0.0000,0.0000,50,80,1,-29.50,1.0003,949.40,-1013.31,16.57,0,276,350,30.4,0.500,449.40,-1313.31
2.0000,0.0000,0.0000,50,80,1,-29.50,0.9998,923.34,-990.75,18.65,0,277,350,30.4,0.500,423.34,-1290.75
3.0000,0.0000,0.0000,50,80,1,-29.50,0.9998,924.45,-1013.82,13.88,0,258,350,30.2,0.500,424.45,-1313.82
1.0000,0.0000,0.0000,50,80,1,-29.50,1.0003,949.40,-1013.31,16.57,0,276,350,30.0,0.500,449.40,-1313.31
1.0000,0.1000,0.0000,44,80,1,-30.50,0.9998,704.85,1018.33,15.76,1,262,500,39.5,-0.500,204.85,718.33
1.0000,0.2000,0.0000,39,80,1,-29.50,1.0003,1764.55,1474.88,33.35,16,240,900,60.9,0.500,1264.55,1174.88
1.0000,0.3000,0.0000,30,80,1,-30.50,0.9998,1164.88,131.21,41.93,16,300,850,65.5,-0.500,664.88,-168.79
1.0000,0.0000,0.0000,50,80,1,-29.50,1.0003,949.40,-1013.31,16.57,0,276,350,32.9,0.500,449.40,-1313.31
1.0000,0.0000,0.1000,55,80,1,-29.50,0.9998,922.23,-1013.31,19.48,1,259,450,40.6,0.500,422.23,-1313.31
1.0000,0.0000,0.2000,60,80,1,-29.50,1.0003,25.56,-1332.90,19.10,6,235,650,47.8,0.500,-474.44,-1632.90
1.0000,0.0000,0.5000,75,80,1,-29.50,0.9998,2280.81,904.19,19.39,2,224,400,35.5,0.500,1780.81,604.19
1.0000,0.1000,0.1000,50,80,1,-29.50,1.0003,855.87,978.19,46.47,16,252,800,56.3,0.500,355.87,678.19
1.0000,0.1000,0.1000,47,80,1,-29.50,0.9998,530.72,61.65,48.26,18,269,1400,93.6,0.500,30.72,-238.35
1.0000,0.1000,0.1000,48,80,1,-30.50,0.9998,1811.75,356.49,12.84,0,232,350,31.0,-0.500,1311.75,56.49
1.0000,0.1000,0.1000,50,80,1,-29.50,1.0003,540.06,1813.48,10.26,0,214,350,33.9,0.500,40.06,1513.48
1.0000,0.1000,0.1000,52,80,1,-29.50,0.9998,-634.03,-1190.99,14.04,0,235,350,32.8,0.500,-1134.03,-1490.99
2.0000,0.2000,0.2000,51,80,1,-29.50,0.9998,-1031.55,-505.75,21.58,5,334,650,49.6,0.500,-1531.55,-805.75
2.0000,0.2000,0.2000,46,80,1,-29.50,1.0003,2134.92,335.07,34.90,8,268,650,52.3,0.500,1634.92,35.07
2.0000,0.2000,0.2000,44,80,1,-29.50,1.0003,1294.53,-118.06,24.83,5,228,550,42.8,0.500,794.53,-418.06
2.0000,0.2000,0.2000,55,80,1,-30.50,1.0003,1015.22,-521.02,17.53,2,238,400,34.5,-0.500,515.22,-821.02
2.0000,0.2000,0.2000,51,80,1,-29.50,1.0003,1213.70,1987.85,21.85,7,233,650,50.3,0.500,713.70,1687.85
3.0000,0.3000,0.5000,54,80,1,-29.50,1.0008,-303.64,-417.80,14.45,1,272,500,41.6,0.500,-803.64,-717.80
3.0000,0.3000,0.5000,48,80,1,-30.50,0.9998,-486.12,-1224.19,15.04,1,326,500,43.1,-0.500,-986.12,-1524.19
3.0000,0.3000,0.5000,57,80,1,-30.50,0.9992,259.13,-641.94,10.23,0,295,450,37.0,-0.500,-240.87,-941.94
3.0000,0.3000,0.5000,55,80,1,-29.50,0.9998,-538.27,-1466.33,11.89,0,167,350,31.5,0.500,-1038.27,-1766.33
3.0000,0.3000,0.5000,52,80,1,-29.50,1.0003,-1350.81,-1172.01,36.18,11,276,950,64.9,0.500,-1850.81,-1472.01
