img_x,img_y,cat_x,cat_y,residual_x,residual_y,valid
2296.000,344.190,2426.043,221.089,130.043,-123.101,1
3530.796,110.081,3420.830,144.568,-109.966,34.488,1
1341.584,2801.348,1637.965,2309.266,296.382,-492.082,1
736.194,744.571,1124.258,384.643,388.064,-359.928,1
2687.449,363.669,2713.333,286.949,25.884,-76.720,1
4396.463,810.069,4111.888,897.500,-284.575,87.432,1
1215.632,3434.202,1533.061,2879.390,317.429,-554.811,1
2491.316,389.993,2575.229,262.366,83.913,-127.626,1
2846.510,47.304,2861.965,15.329,15.455,-31.975,1
2891.247,262.093,2895.675,213.009,4.428,-49.084,1
1035.490,451.613,1370.193,144.378,334.703,-307.235,1
3465.678,2305.341,3337.460,2122.937,-128.219,-182.404,1
983.633,410.357,1353.454,105.768,369.821,-304.589,1
2930.295,3407.490,2921.127,3055.486,-9.168,-352.005,1
2770.975,421.148,2799.185,350.081,28.211,-71.067,1
3694.399,184.497,3542.556,248.460,-151.843,63.963,1
3694.400,184.497,3542.556,248.460,-151.844,63.963,1
4446.859,1317.510,4149.454,1358.411,-297.405,40.901,1
4380.645,1185.952,4097.449,1212.955,-283.196,27.004,1
906.431,598.540,1270.825,254.923,364.395,-343.618,1
3681.540,218.582,3530.465,260.863,-151.075,42.281,1
32.450,1015.700,546.342,536.120,513.892,-479.581,1
3465.678,2305.341,3337.460,2122.937,-128.218,-182.404,1
2245.790,1082.743,2352.951,880.991,107.161,-201.752,1
3451.034,1395.496,3343.516,1321.758,-107.518,-73.738,1
2437.569,355.849,2532.532,255.931,94.964,-99.918,1
3059.350,203.309,3025.596,191.358,-33.755,-11.951,1
3190.737,2513.914,3127.904,2303.291,-62.833,-210.623,1
706.458,742.587,1124.258,384.643,417.800,-357.944,1
4098.620,1078.579,3873.597,1099.472,-225.024,20.893,1
170.320,1054.784,683.941,611.485,513.621,-443.298,1
3059.352,203.310,3025.596,191.358,-33.757,-11.952,1
3144.704,104.291,3098.426,111.822,-46.278,7.531,1
4424.883,10.628,4154.146,174.180,-270.737,163.552,1
3668.980,227.554,3530.465,260.863,-138.515,33.308,1
3181.476,2259.356,3136.095,2060.841,-45.382,-198.515,1
2301.983,351.007,2426.043,221.089,124.060,-129.918,1
3309.253,413.227,3237.338,386.764,-71.916,-26.463,1
3603.048,2355.551,3456.369,2181.279,-146.679,-174.271,1
2933.088,226.305,2931.978,172.672,-1.110,-53.633,1
3784.712,48.960,3623.009,138.286,-161.703,89.325,1
4412.290,765.880,4124.698,855.832,-287.593,89.952,1
313.574,439.591,809.227,64.250,495.653,-375.341,1
2793.697,426.191,2799.185,350.081,5.489,-76.110,1
55.401,2487.110,582.285,1874.965,526.884,-612.146,1
1002.301,766.833,1341.298,437.215,338.996,-329.618,1
2677.279,249.737,2716.806,162.895,39.527,-86.842,1
2629.025,659.019,2675.712,531.564,46.687,-127.455,1
355.257,3437.419,820.941,2783.623,465.683,-653.796,1
4228.239,1333.058,3969.970,1339.353,-258.269,6.295,1
3864.733,1485.303,3674.457,1437.735,-190.277,-47.568,1
2633.595,658.236,2675.712,531.564,42.117,-126.671,1
924.260,704.827,1303.751,359.748,379.491,-345.078,1
3004.914,410.815,2992.648,358.149,-12.266,-52.666,1
2511.628,387.667,2575.229,262.366,63.601,-125.301,1
3276.260,2282.357,3183.314,2091.124,-92.946,-191.233,1
1704.041,899.564,1923.433,653.308,219.392,-246.256,1
2666.466,1082.446,2717.625,919.638,51.159,-162.808,1
2952.022,201.291,2931.978,172.672,-20.044,-28.619,1
2559.610,90.774,2630.270,20.649,70.660,-70.125,1
3059.351,203.309,3025.596,191.358,-33.756,-11.951,1
4409.812,935.965,4124.875,1016.524,-284.937,80.559,1
3322.006,374.726,3234.571,375.535,-87.435,0.808,1
3353.103,2022.066,3277.953,1871.182,-75.150,-150.883,1
3763.823,373.835,3602.843,406.073,-160.979,32.239,1
2312.545,331.946,2426.043,221.089,113.498,-110.857,1
2674.998,244.920,2716.806,162.895,41.809,-82.025,1
2184.927,581.665,2318.317,399.572,133.390,-182.093,1
3357.307,984.050,3259.744,918.782,-97.563,-65.267,1
3286.457,2164.058,3205.581,1975.402,-80.876,-188.656,1
2817.483,316.290,2831.942,258.636,14.459,-57.654,1
3970.305,2818.427,3772.338,2672.505,-197.967,-145.922,1
2900.477,215.530,2904.849,173.949,4.372,-41.581,1
2670.406,274.314,2728.166,203.345,57.761,-70.969,1
3999.987,624.002,3774.125,676.778,-225.862,52.776,1
291.178,1021.124,779.025,570.643,487.847,-450.481,1
3459.443,2207.101,3361.692,2028.987,-97.751,-178.114,1
2676.625,32.354,2723.151,-19.024,46.526,-51.378,1
4195.250,444.481,3940.446,523.731,-254.804,79.250,1
3387.636,649.933,3294.542,623.032,-93.094,-26.901,1
2841.578,1491.041,2864.705,1310.255,23.127,-180.786,1
3673.118,670.347,3527.813,694.257,-145.305,23.910,1
2828.169,333.376,2831.942,258.636,3.773,-74.740,1
1847.270,1086.242,2035.477,812.060,188.207,-274.181,1
2692.274,31.189,2723.151,-19.024,30.876,-50.213,1
315.431,2661.161,786.393,2059.335,470.962,-601.827,1
